test_1,test_2,result,start,stop,time_index,battery_current,field,measurement,host,name,slave_id,type
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:20:00Z,-140.66666666666666,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:22:00Z,-137.83333333333334,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:24:00Z,-80,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:26:00Z,-44.5,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:28:00Z,-2,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:30:00Z,3,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:32:00Z,5.666666666666667,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:34:00Z,78.66666666666667,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:36:00Z,122.16666666666667,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:38:00Z,122.83333333333333,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:40:00Z,120.33333333333333,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:42:00Z,119.66666666666667,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:44:00Z,119.66666666666667,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:46:00Z,119,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:48:00Z,119,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:50:00Z,119,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:52:00Z,37.5,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:54:00Z,-0.6666666666666666,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:56:00Z,0,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:58:00Z,0,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T09:00:00Z,0,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T09:02:00Z,0,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T09:04:00Z,0,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
